id,method,hours_saved,errors
1,Traditional,4.71,5
2,Traditional,4.65,2
3,Traditional,4.54,6
4,Traditional,4.98,6
5,Traditional,8.18,12
6,Traditional,7.21,2
7,Traditional,5.1,4
8,Traditional,5.92,6
9,Traditional,0.61,6
10,Traditional,9.15,5
11,Traditional,3.88,5
12,Traditional,3.34,6
13,Traditional,5.92,4
14,Traditional,5.28,4
15,Traditional,4.45,4
16,Traditional,2.02,8
17,Traditional,3.24,5
18,Traditional,2.9,1
19,Traditional,8.71,5
20,Traditional,3.23,4
21,Traditional,2.5,6
22,Traditional,5.39,5
23,Traditional,5.29,3
24,Traditional,6.79,5
25,Traditional,4.32,6
26,Traditional,3.79,4
27,Traditional,2.33,4
28,Traditional,-0.1,4
29,Traditional,6.92,8
30,Traditional,4.0,3
31,Traditional,0.79,8
32,Traditional,9.0,5
33,Traditional,2.96,4
34,Traditional,3.81,5
35,Traditional,2.7,6
36,Traditional,3.44,5
37,Traditional,-1.95,3
38,Traditional,6.86,10
39,Traditional,5.69,4
40,Traditional,3.46,6
41,Traditional,0.67,4
42,Traditional,5.31,6
43,Traditional,8.69,5
44,Traditional,6.89,7
45,Traditional,5.78,8
46,Traditional,0.92,8
47,Traditional,7.75,5
48,Traditional,2.15,1
49,Traditional,3.11,7
50,Traditional,8.52,4
51,Reproducible,10.56,2
52,Reproducible,16.94,2
53,Reproducible,14.96,5
54,Reproducible,14.83,0
55,Reproducible,13.62,3
56,Reproducible,12.69,1
57,Reproducible,12.95,0
58,Reproducible,16.45,5
59,Reproducible,14.92,1
60,Reproducible,14.97,3
61,Reproducible,15.77,2
62,Reproducible,18.31,0
63,Reproducible,10.77,4
64,Reproducible,14.59,1
65,Reproducible,15.11,1
66,Reproducible,18.4,2
67,Reproducible,13.84,2
68,Reproducible,11.69,2
69,Reproducible,13.34,2
70,Reproducible,15.85,2
71,Reproducible,16.41,6
72,Reproducible,10.78,5
73,Reproducible,15.07,3
74,Reproducible,19.27,0
75,Reproducible,14.47,2
76,Reproducible,17.33,2
77,Reproducible,17.82,2
78,Reproducible,16.21,4
79,Reproducible,15.29,0
80,Reproducible,12.08,4
81,Reproducible,14.94,1
82,Reproducible,11.23,1
83,Reproducible,17.67,2
84,Reproducible,15.49,1
85,Reproducible,14.5,2
86,Reproducible,14.51,1
87,Reproducible,14.06,1
88,Reproducible,15.23,2
89,Reproducible,15.07,1
90,Reproducible,9.33,0
91,Reproducible,2.46,3
92,Reproducible,11.83,3
93,Reproducible,15.9,2
94,Reproducible,16.27,2
95,Reproducible,11.11,0
96,Reproducible,11.89,2
97,Reproducible,17.56,4
98,Reproducible,15.42,2
99,Reproducible,15.82,1
100,Reproducible,9.21,3
